<IP address	port>

2.30.150.31	31184
5.79.72.237	40680
8.17.185.105	6348
14.192.112.25	6346
24.1.67.224	36571
24.29.86.55	19733
24.56.195.4	38226
24.59.174.71	47644
24.63.40.29	29283
24.121.4.19	17863
24.122.4.208	17331
24.154.91.39	36164
24.155.72.61	15883
24.191.99.165	32016
24.243.238.18	40726
27.87.129.96	6346
27.141.214.73	6346
36.8.52.178	6346
38.109.29.79	38773
39.110.102.248	29750
42.146.53.248	46523
42.148.109.203	6346
45.32.188.246	42759
45.56.50.11	26264
46.44.189.58	44608
46.44.189.58	15749
46.208.141.240	13810
47.55.101.139	2232
47.146.78.239	21164
47.184.5.56	21280
47.187.206.201	8083
47.203.19.6	29745
47.220.139.216	15806
49.128.143.143	6346
49.150.146.211	44771
50.46.189.51	2125
50.58.238.131	6582
50.130.253.141	48385
50.130.253.141	50022
50.130.253.141	24522
50.130.253.141	61183
50.166.5.231	34315
51.171.113.149	40361
58.104.176.7	27407
58.110.169.16	26273
59.167.234.78	32065
59.167.234.78	8087
59.167.234.78	31394
59.167.234.78	21712
59.167.234.78	65261
60.62.10.160	14009
60.100.3.51	6346
60.101.202.176	6346
60.122.131.169	6346
60.240.106.101	12869
61.7.80.90	6346
61.10.168.87	6992
61.21.17.163	15604
61.92.157.222	18066
65.95.145.202	21765
65.131.58.147	13898
66.25.252.79	24188
66.56.218.201	17415
66.69.149.115	50988
66.108.177.201	24910
66.171.49.145	29351
66.171.100.141	40648
66.212.143.106	7001
66.212.143.116	7001
66.234.192.124	7218
67.58.220.185	17159
67.165.149.46	18460
67.189.24.238	7244
67.253.201.207	60975
67.253.201.207	53875
67.253.201.207	22689
68.42.156.197	6347
68.45.178.245	22253
68.97.49.47	19708
68.99.203.196	13578
68.109.153.63	50645
68.114.69.109	22859
68.172.41.133	4499
68.191.100.163	34506
68.203.222.224	27968
69.88.209.248	6348
69.115.208.61	37613
69.126.177.178	6348
70.127.244.93	44802
70.127.244.93	53405
70.127.244.93	53406
70.161.206.108	24874
71.6.63.250	23648
71.9.21.173	5905
71.9.21.173	5405
71.9.21.173	5705
71.9.21.173	5202
71.9.21.173	6510
71.9.21.173	6005
71.9.21.173	5504
71.9.21.173	6305
71.9.21.173	8411
71.9.21.173	5605
71.9.21.173	5103
71.13.59.84	6110
71.53.85.206	22451
71.85.194.72	39340
71.170.63.52	2011
71.174.119.158	49733
71.176.247.8	15438
71.178.12.32	12438
71.219.95.67	50463
71.228.174.140	44922
71.230.14.200	2538
71.233.184.89	6346
71.233.189.117	20829
71.235.37.48	24491
72.39.150.99	23352
72.176.221.40	7487
72.191.25.15	4062
72.197.218.8	39331
72.239.11.107	5572
72.250.235.13	3535
73.21.236.39	20488
73.24.219.95	13612
73.35.109.32	34507
73.47.60.132	7942
73.95.94.54	15620
73.140.102.110	12437
73.159.244.163	50771
73.167.243.140	41379
73.185.70.11	7002
73.187.35.194	14611
73.189.180.26	16718
73.232.249.198	4137
73.240.24.176	2690
74.97.176.235	20267
74.99.179.165	61735
74.127.26.138	3083
74.128.218.39	17370
74.193.79.173	6348
74.199.5.179	24666
74.210.240.73	11065
74.221.18.181	6346
75.91.242.61	4720
75.121.244.172	17990
